NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Ouro Verde,8,16,4,4,11,2,8,5
Ouroeste,21,15,16,19,26,15,8,12
Pacaembu,15,5,15,7,6,3,10,10
Palestina,17,14,15,6,11,8,7,2
Palmares Paulista,13,22,6,3,2,9,4,4
Palmeira d'Oeste,4,7,8,2,4,15,6,5
Palmital,64,33,35,17,20,37,42,30
Panorama,37,27,78,40,19,28,35,29
Paraguaçu Paulista,117,149,102,52,49,48,58,42
Paraibuna,33,39,37,16,19,19,35,25
Paraíso,3,6,10,4,3,6,4,0
Paranapanema,40,29,20,8,11,12,12,31
Paranapuã,8,3,4,3,6,4,3,3
Parapuã,18,18,20,20,18,18,20,10
Pardinho,12,7,6,4,2,4,9,17
Pariquera-Açu,45,52,41,25,14,24,19,34
Parisi,5,2,9,5,1,4,6,8
Patrocínio Paulista,35,50,44,28,19,32,36,35
Paulicéia,5,2,1,3,3,4,9,4
Paulínia,554,438,461,250,238,327,402,377
Paulistânia,0,0,1,0,0,3,2,2
Paulo de Faria,17,18,8,3,5,2,2,2
Pederneiras,110,87,81,55,70,68,134,97
Pedra Bela,10,6,7,0,2,7,5,7
Pedranópolis,1,0,2,2,1,6,2,0
Pedregulho,81,44,64,30,20,27,26,38
Pedreira,88,89,91,38,46,70,67,63
Pedrinhas Paulista,4,2,7,4,1,1,0,2
Pedro de Toledo,11,15,17,7,14,19,21,20
Penápolis,168,129,173,122,77,123,92,84
Pereira Barreto,70,51,45,29,22,24,36,37
Pereiras,19,14,4,3,11,6,12,10
Peruíbe,602,568,572,289,313,347,583,482
Piacatu,9,8,15,4,3,4,6,4
Piedade,78,93,96,44,37,44,70,84
Pilar do Sul,47,42,49,25,23,40,44,28
Pindamonhangaba,724,612,566,284,184,222,497,395
Pindorama,32,35,19,14,13,14,16,11
Pinhalzinho,16,17,14,8,10,10,15,13
Piquerobi,7,3,5,1,2,2,2,3
Piquete,37,26,26,19,11,19,24,16
Piracaia,48,51,39,28,21,35,49,27
Piracicaba,1311,1238,1183,558,573,621,1297,1218
Piraju,60,59,80,30,29,25,33,44
Pirajuí,35,29,43,16,7,26,19,35
Pirangi,19,21,21,17,13,18,25,16
Pirapora do Bom Jesus,61,61,46,29,24,20,30,31
Pirapozinho,30,30,35,19,16,29,42,27
Pirassununga,208,225,210,94,75,121,174,147
Piratininga,32,30,19,17,18,10,30,26
Pitangueiras,137,141,83,23,32,41,73,52
Planalto,16,13,5,9,6,4,6,5
Platina,4,5,1,3,2,0,0,2
Poá,683,683,681,395,371,312,883,976
Poloni,8,14,7,6,7,11,8,3
Pompéia,36,26,22,12,9,18,17,16
Pongaí,3,6,2,0,3,2,4,0
Pontal,101,98,98,58,33,58,62,73
Pontalinda,10,6,15,4,5,8,1,6
Pontes Gestal,0,8,2,1,1,0,3,4
Populina,6,8,1,6,1,3,1,4
Porangaba,6,17,16,12,4,10,18,11
Porto Feliz,110,80,89,32,17,46,129,92
Porto Ferreira,210,140,175,77,68,110,146,126
Potim,62,24,28,18,10,12,39,24
Potirendaba,36,46,47,34,32,55,27,36
Pracinha,1,2,3,1,1,0,0,0
Pradópolis,35,41,23,19,17,27,36,30
Praia Grande,2940,2320,2185,1043,808,821,4120,3969
Pratânia,4,9,2,7,5,7,4,8
Presidente Alves,2,5,2,1,1,1,2,1
Presidente Bernardes,13,10,14,3,5,5,5,5
Presidente Epitácio,79,97,86,48,33,81,90,88
Presidente Prudente,852,810,742,304,303,455,634,678
Presidente Venceslau,49,54,50,22,30,45,38,19
Promissão,120,123,118,60,55,73,69,57
Quadra,2,3,3,2,0,0,7,8
Quatá,11,2,11,10,11,13,8,13
Queiroz,15,9,5,5,6,3,5,3
Queluz,42,33,35,22,19,23,33,22
Quintana,13,11,2,7,4,5,2,4
Rafard,19,14,11,4,0,5,12,7
Rancharia,71,80,82,32,42,52,60,30
Redenção da Serra,5,6,4,0,3,0,6,7
Regente Feijó,33,9,16,5,9,20,27,18
Reginópolis,3,4,3,0,1,6,6,10
Registro,201,181,218,130,121,140,149,170
Restinga,10,9,11,8,12,15,13,17
Ribeira,1,0,0,0,0,3,2,0
Ribeirão Bonito,18,13,8,17,17,11,13,17
Ribeirão Branco,14,10,19,7,16,15,17,23
Ribeirão Corrente,6,6,5,2,4,2,0,1
Ribeirão do Sul,8,5,10,5,7,2,3,5
Ribeirão Grande,6,2,11,2,4,3,5,5
Ribeirão dos Índios,3,2,0,0,0,0,0,0
Ribeirão Pires,528,529,458,191,192,281,415,375
Ribeirão Preto,3668,3517,3233,934,557,700,4228,3451
Rifaina,6,2,4,8,3,9,20,8
Rincão,26,27,17,9,12,11,6,11
Rinópolis,13,5,9,4,7,10,14,5
Rio Claro,844,795,693,546,328,363,660,541
Rio das Pedras,108,86,92,40,35,46,56,48
Rio Grande da Serra,166,116,122,54,57,80,100,77
Riolândia,21,22,12,12,12,13,13,21
Riversul,12,9,15,7,4,4,7,5
Rosana,29,22,30,6,3,5,17,28
Roseira,31,28,17,16,11,11,21,29
Rubiácea,2,3,1,2,0,1,4,1
Rubinéia,3,5,2,2,3,2,4,8
Santa Adélia,16,15,12,8,13,16,27,7
Santa Albertina,6,4,7,4,5,6,2,4
Santo Anastácio,21,35,14,11,12,7,13,8
Santo André,4802,4726,4171,1785,1425,1934,7716,6921
Santo Antônio da Alegria,17,18,19,10,9,14,5,4
Santo Antônio do Aracanguá,6,12,11,3,5,6,10,10
Santo Antônio de Posse,65,36,48,23,18,30,42,31
Santo Antônio do Jardim,9,7,8,4,5,1,18,9
Santo Antônio do Pinhal,21,12,13,4,10,5,16,12
Santa Bárbara d'Oeste,511,455,480,251,200,230,441,380
São Bento do Sapucaí,16,7,12,7,10,5,10,13
São Bernardo do Campo,5650,5258,5062,2215,1828,2302,6624,5401
Santa Branca,41,30,22,11,18,26,24,25
São Caetano do Sul,1136,1054,1130,586,422,581,1194,1096
São Carlos,976,734,670,431,317,391,1229,1143
Santa Clara d'Oeste,2,3,0,4,0,4,3,1
Santa Cruz da Conceição,8,11,3,3,4,5,10,7
